,precision,recall,f1-score,support,train_accuracy,test_accuracy,overall_accuracy,f1_score,roc_auc
fake,0.8803263825929284,0.8909991742361685,0.8862422997946612,1211.0,0.9881809390781132,0.8809626128061883,0.9762666539324769,0.8751689950428121,0.9320949835587166
real,0.8803263825929284,0.8700716845878136,0.8751689950428121,1116.0,0.9881809390781132,0.8809626128061883,0.9762666539324769,0.8751689950428121,0.9320949835587166
accuracy,0.8803263825929284,0.8809626128061883,0.8809626128061883,0.8809626128061883,0.9881809390781132,0.8809626128061883,0.9762666539324769,0.8751689950428121,0.9320949835587166
macro avg,0.8803263825929284,0.880535429411991,0.8807056474187367,2327.0,0.9881809390781132,0.8809626128061883,0.9762666539324769,0.8751689950428121,0.9320949835587166
weighted avg,0.8803263825929284,0.8809626128061883,0.8809316817873282,2327.0,0.9881809390781132,0.8809626128061883,0.9762666539324769,0.8751689950428121,0.9320949835587166
